Title,Area,Link,DirectLink
The Gastrointestinal System,Biomedical and Life Sciences,doi.org/10.1007/978-94-017-8771-0,https://link.springer.com/content/pdf/10.1007%2F978-94-017-8771-0
SPSS for Starters and 2nd Levelers,Biomedical and Life Sciences,doi.org/10.1007/978-3-319-20600-4,https://link.springer.com/content/pdf/10.1007%2F978-3-319-20600-4
Machine Learning in Medicine - a Complete Overview,Biomedical and Life Sciences,doi.org/10.1007/978-3-319-15195-3,https://link.springer.com/content/pdf/10.1007%2F978-3-319-15195-3
Pharmaceutical Biotechnology,Biomedical and Life Sciences,doi.org/10.1007/978-1-4614-6486-0,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-6486-0
An Introduction to Biomechanics,Biomedical and Life Sciences,doi.org/10.1007/978-1-4939-2623-7,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-2623-7
Bioinformatics for Evolutionary Biologists,Biomedical and Life Sciences,doi.org/10.1007/978-3-319-67395-0,https://link.springer.com/content/pdf/10.1007%2F978-3-319-67395-0
Lessons on Synthetic Bioarchitectures,Biomedical and Life Sciences,doi.org/10.1007/978-3-319-73123-0,https://link.springer.com/content/pdf/10.1007%2F978-3-319-73123-0
Applied Bioinformatics,Biomedical and Life Sciences,doi.org/10.1007/978-3-319-68301-0,https://link.springer.com/content/pdf/10.1007%2F978-3-319-68301-0
"ENZYMES: Catalysis, Kinetics and Mechanisms",Biomedical and Life Sciences,doi.org/10.1007/978-981-13-0785-0,https://link.springer.com/content/pdf/10.1007%2F978-981-13-0785-0
"Plant Physiology, Development and Metabolism",Biomedical and Life Sciences,doi.org/10.1007/978-981-13-2023-1,https://link.springer.com/content/pdf/10.1007%2F978-981-13-2023-1
Plant Anatomy,Biomedical and Life Sciences,doi.org/10.1007/978-3-319-77315-5,https://link.springer.com/content/pdf/10.1007%2F978-3-319-77315-5
Pharmaceutical Biotechnology,Biomedical and Life Sciences,doi.org/10.1007/978-3-030-00710-2,https://link.springer.com/content/pdf/10.1007%2F978-3-030-00710-2
Food Fraud Prevention,Biomedical and Life Sciences,doi.org/10.1007/978-1-4939-9621-6,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-9621-6
Plant Ecology,Biomedical and Life Sciences,doi.org/10.1007/978-3-662-56233-,https://link.springer.com/content/pdf/10.1007%2F978-3-662-56233-
Database Marketing,Business and Economics,doi.org/10.1007/978-0-387-72579-6,https://link.springer.com/content/pdf/10.1007%2F978-0-387-72579-6
Microeconomics,Business and Economics,doi.org/10.1007/978-3-642-37434-0,https://link.springer.com/content/pdf/10.1007%2F978-3-642-37434-0
Design Research in Information Systems,Business and Economics,doi.org/10.1007/978-1-4419-5653-8,https://link.springer.com/content/pdf/10.1007%2F978-1-4419-5653-8
Strategic International Management,Business and Economics,doi.org/10.1007/978-3-8349-6331-4,https://link.springer.com/content/pdf/10.1007%2F978-3-8349-6331-4
International Trade Theory and Policy,Business and Economics,doi.org/10.1007/978-3-642-37314-5,https://link.springer.com/content/pdf/10.1007%2F978-3-642-37314-5
Supply Chain Management and Advanced Planning,Business and Economics,doi.org/10.1007/978-3-642-55309-7,https://link.springer.com/content/pdf/10.1007%2F978-3-642-55309-7
Strategic International Management,Business and Economics,doi.org/10.1007/978-3-658-07884-3,https://link.springer.com/content/pdf/10.1007%2F978-3-658-07884-3
Search Methodologies,Business and Economics,doi.org/10.1007/978-1-4614-6940-7,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-6940-7
Linear Programming,Business and Economics,doi.org/10.1007/978-1-4614-7630-6,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-7630-6
Corporate Social Responsibility,Business and Economics,doi.org/10.1007/978-3-642-40975-2,https://link.springer.com/content/pdf/10.1007%2F978-3-642-40975-2
Electronic Commerce,Business and Economics,doi.org/10.1007/978-3-319-10091-3,https://link.springer.com/content/pdf/10.1007%2F978-3-319-10091-3
Econometrics,Business and Economics,doi.org/10.1007/978-3-642-20059-5,https://link.springer.com/content/pdf/10.1007%2F978-3-642-20059-5
Logistics,Business and Economics,doi.org/10.1007/978-3-319-01769-3,https://link.springer.com/content/pdf/10.1007%2F978-3-319-01769-3
New Introduction to Multiple Time Series Analysis,Business and Economics,doi.org/10.1007/978-3-540-27752-1,https://link.springer.com/content/pdf/10.1007%2F978-3-540-27752-1
Game Theory,Business and Economics,doi.org/10.1007/978-3-662-46950-7,https://link.springer.com/content/pdf/10.1007%2F978-3-662-46950-7
Physical Asset Management,Business and Economics,doi.org/10.1007/978-3-319-14777-2,https://link.springer.com/content/pdf/10.1007%2F978-3-319-14777-2
Linear and Nonlinear Programming,Business and Management,doi.org/10.1007/978-3-319-18842-3,https://link.springer.com/content/pdf/10.1007%2F978-3-319-18842-3
Enterprise Risk Management Models,Business and Management,doi.org/10.1007/978-3-662-53785-5,https://link.springer.com/content/pdf/10.1007%2F978-3-662-53785-5
Introduction to Electronic Commerce and Social Commerce,Business and Management,doi.org/10.1007/978-3-319-50091-1,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50091-1
Business Process Management Cases,Business and Management,doi.org/10.1007/978-3-319-58307-5,https://link.springer.com/content/pdf/10.1007%2F978-3-319-58307-5
Social Media Management,Business and Management,doi.org/10.1007/978-3-319-21990-5,https://link.springer.com/content/pdf/10.1007%2F978-3-319-21990-5
Multinational Management,Business and Management,doi.org/10.1007/978-3-319-23012-2,https://link.springer.com/content/pdf/10.1007%2F978-3-319-23012-2
Leadership Today,Business and Management,doi.org/10.1007/978-3-319-31036-7,https://link.springer.com/content/pdf/10.1007%2F978-3-319-31036-7
Sustainable Supply Chains,Business and Management,doi.org/10.1007/978-3-319-29791-0,https://link.springer.com/content/pdf/10.1007%2F978-3-319-29791-0
Strategic Retail Management,Business and Management,doi.org/10.1007/978-3-658-10183-1,https://link.springer.com/content/pdf/10.1007%2F978-3-658-10183-1
"Travel Marketing, Tourism Economics and the Airline Product",Business and Management,doi.org/10.1007/978-3-319-49849-2,https://link.springer.com/content/pdf/10.1007%2F978-3-319-49849-2
Electronic Commerce 2018,Business and Management,doi.org/10.1007/978-3-319-58715-8,https://link.springer.com/content/pdf/10.1007%2F978-3-319-58715-8
Market Research,Business and Management,doi.org/10.1007/978-981-10-5218-7,https://link.springer.com/content/pdf/10.1007%2F978-981-10-5218-7
Managing Sustainable Business,Business and Management,doi.org/10.1007/978-94-024-1144-7,https://link.springer.com/content/pdf/10.1007%2F978-94-024-1144-7
Knowledge Management,Business and Management,doi.org/10.1007/978-3-319-59978-6,https://link.springer.com/content/pdf/10.1007%2F978-3-319-59978-6
Customer Relationship Management,Business and Management,doi.org/10.1007/978-3-662-55381-7,https://link.springer.com/content/pdf/10.1007%2F978-3-662-55381-7
Strategic Human Resource Management and Employment Relations,Business and Management,doi.org/10.1007/978-981-13-0399-9,https://link.springer.com/content/pdf/10.1007%2F978-981-13-0399-9
Entertainment Science,Business and Management,doi.org/10.1007/978-3-319-89292-4,https://link.springer.com/content/pdf/10.1007%2F978-3-319-89292-4
Analytical Corporate Finance,Business and Management,doi.org/10.1007/978-3-319-95762-3,https://link.springer.com/content/pdf/10.1007%2F978-3-319-95762-3
A Concise Guide to Market Research,Business and Management,doi.org/10.1007/978-3-662-56707-4,https://link.springer.com/content/pdf/10.1007%2F978-3-662-56707-4
Global Supply Chain and Operations Management,Business and Management,doi.org/10.1007/978-3-319-94313-8,https://link.springer.com/content/pdf/10.1007%2F978-3-319-94313-8
International Business Management,Business and Management,doi.org/10.1007/978-3-319-96622-9,https://link.springer.com/content/pdf/10.1007%2F978-3-319-96622-9
Excel Data Analysis,Business and Management,doi.org/10.1007/978-3-030-01279-3,https://link.springer.com/content/pdf/10.1007%2F978-3-030-01279-3
Digital Business Models,Business and Management,doi.org/10.1007/978-3-030-13005-3,https://link.springer.com/content/pdf/10.1007%2F978-3-030-13005-3
Social Marketing in Action,Business and Management,doi.org/10.1007/978-3-030-13020-6,https://link.springer.com/content/pdf/10.1007%2F978-3-030-13020-6
Essentials of Business Analytics,Business and Management,doi.org/10.1007/978-3-319-68837-4,https://link.springer.com/content/pdf/10.1007%2F978-3-319-68837-4
Ceramic Materials,Chemistry and Materials Science,doi.org/10.1007/978-0-387-46271-4,https://link.springer.com/content/pdf/10.1007%2F978-0-387-46271-4
Principles of Fluorescence Spectroscopy,Chemistry and Materials Science,doi.org/10.1007/978-0-387-46312-4,https://link.springer.com/content/pdf/10.1007%2F978-0-387-46312-4
Composite Materials,Chemistry and Materials Science,doi.org/10.1007/978-0-387-74365-3,https://link.springer.com/content/pdf/10.1007%2F978-0-387-74365-3
Transmission Electron Microscopy,Chemistry and Materials Science,doi.org/10.1007/978-0-387-76501-3,https://link.springer.com/content/pdf/10.1007%2F978-0-387-76501-3
Sensory Evaluation of Food,Chemistry and Materials Science,doi.org/10.1007/978-1-4419-6488-5,https://link.springer.com/content/pdf/10.1007%2F978-1-4419-6488-5
Engineering Flow and Heat Exchange,Chemistry and Materials Science,doi.org/10.1007/978-1-4899-7454-9,https://link.springer.com/content/pdf/10.1007%2F978-1-4899-7454-9
Chemical Thermodynamics,Chemistry and Materials Science,doi.org/10.1007/978-3-642-19864-9,https://link.springer.com/content/pdf/10.1007%2F978-3-642-19864-9
Electrochemistry,Chemistry and Materials Science,doi.org/10.1007/978-3-642-30250-3,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30250-3
Acid-Base Diagrams,Chemistry and Materials Science,doi.org/10.1007/978-3-642-37902-4,https://link.springer.com/content/pdf/10.1007%2F978-3-642-37902-4
Brewing Science: A Multidisciplinary Approach,Chemistry and Materials Science,doi.org/10.1007/978-3-319-46394-0,https://link.springer.com/content/pdf/10.1007%2F978-3-319-46394-0
Principles of Polymer Chemistry,Chemistry and Materials Science,doi.org/10.1007/978-1-4614-2212-9,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-2212-9
Nanotechnology: Principles and Practices,Chemistry and Materials Science,doi.org/10.1007/978-3-319-09171-6,https://link.springer.com/content/pdf/10.1007%2F978-3-319-09171-6
Structure Determination by X-ray Crystallography,Chemistry and Materials Science,doi.org/10.1007/978-1-4614-3954-7,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-3954-7
Ceramic Materials,Chemistry and Materials Science,doi.org/10.1007/978-1-4614-3523-5,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-3523-5
Foundations of Analytical Chemistry,Chemistry and Materials Science,doi.org/10.1007/978-3-319-62872-1,https://link.springer.com/content/pdf/10.1007%2F978-3-319-62872-1
Mass Spectrometry,Chemistry and Materials Science,doi.org/10.1007/978-3-319-54398-7,https://link.springer.com/content/pdf/10.1007%2F978-3-319-54398-7
Statistical Mechanics for Engineers,Chemistry and Materials Science,doi.org/10.1007/978-3-319-13809-1,https://link.springer.com/content/pdf/10.1007%2F978-3-319-13809-1
Magnetic Interactions in Molecules and Solids,Chemistry and Materials Science,doi.org/10.1007/978-3-319-22951-5,https://link.springer.com/content/pdf/10.1007%2F978-3-319-22951-5
Polymer Synthesis: Theory and Practice,Chemistry and Materials Science,doi.org/10.1007/978-3-642-28980-4,https://link.springer.com/content/pdf/10.1007%2F978-3-642-28980-4
Food Analysis Laboratory Manual,Chemistry and Materials Science,doi.org/10.1007/978-3-319-44127-6,https://link.springer.com/content/pdf/10.1007%2F978-3-319-44127-6
Electrochemical Impedance Spectroscopy and its Applications,Chemistry and Materials Science,doi.org/10.1007/978-1-4614-8933-7,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-8933-7
Group Theory Applied to Chemistry,Chemistry and Materials Science,doi.org/10.1007/978-94-007-6863-5,https://link.springer.com/content/pdf/10.1007%2F978-94-007-6863-5
Food Chemistry,Chemistry and Materials Science,doi.org/10.1007/978-3-540-69934-7,https://link.springer.com/content/pdf/10.1007%2F978-3-540-69934-7
Exam Survival Guide: Physical Chemistry,Chemistry and Materials Science,doi.org/10.1007/978-3-319-49810-2,https://link.springer.com/content/pdf/10.1007%2F978-3-319-49810-2
Food Analysis,Chemistry and Materials Science,doi.org/10.1007/978-3-319-45776-5,https://link.springer.com/content/pdf/10.1007%2F978-3-319-45776-5
Physical Chemistry from a Different Angle,Chemistry and Materials Science,doi.org/10.1007/978-3-319-15666-8,https://link.springer.com/content/pdf/10.1007%2F978-3-319-15666-8
Essentials of Food Science,Chemistry and Materials Science,doi.org/10.1007/978-1-4614-9138-5,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-9138-5
Chemical and Bioprocess Engineering,Chemistry and Materials Science,doi.org/10.1007/978-1-4614-9126-2,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-9126-2
Applied Chemistry,Chemistry and Materials Science,doi.org/10.1007/978-1-4614-4262-2,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-4262-2
Advanced Organic Chemistry,Chemistry and Materials Science,doi.org/10.1007/978-0-387-44899-2,https://link.springer.com/content/pdf/10.1007%2F978-0-387-44899-2
Advanced Organic Chemistry,Chemistry and Materials Science,doi.org/10.1007/978-0-387-71481-3,https://link.springer.com/content/pdf/10.1007%2F978-0-387-71481-3
Scanning Electron Microscopy and X-Ray Microanalysis,Chemistry and Materials Science,doi.org/10.1007/978-1-4939-6676-9,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-6676-9
Polymer Chemistry,Chemistry and Materials Science,doi.org/10.1007/978-3-662-49279-6,https://link.springer.com/content/pdf/10.1007%2F978-3-662-49279-6
Introduction to Evolutionary Computing,Computer Science,doi.org/10.1007/978-3-662-44874-8,https://link.springer.com/content/pdf/10.1007%2F978-3-662-44874-8
Data Structures and Algorithms with Python,Computer Science,doi.org/10.1007/978-3-319-13072-9,https://link.springer.com/content/pdf/10.1007%2F978-3-319-13072-9
LaTeX in 24 Hours,Computer Science,doi.org/10.1007/978-3-319-47831-9,https://link.springer.com/content/pdf/10.1007%2F978-3-319-47831-9
Automata and Computability,Computer Science,doi.org/10.1007/978-1-4612-1844-9,https://link.springer.com/content/pdf/10.1007%2F978-1-4612-1844-9
The Algorithm Design Manual,Computer Science,doi.org/10.1007/978-1-84800-070-4,https://link.springer.com/content/pdf/10.1007%2F978-1-84800-070-4
Principles of Data Mining,Computer Science,doi.org/10.1007/978-1-4471-7307-6,https://link.springer.com/content/pdf/10.1007%2F978-1-4471-7307-6
Fundamentals of Business Process Management,Computer Science,doi.org/10.1007/978-3-642-33143-5,https://link.springer.com/content/pdf/10.1007%2F978-3-642-33143-5
UML @ Classroom,Computer Science,doi.org/10.1007/978-3-319-12742-2,https://link.springer.com/content/pdf/10.1007%2F978-3-319-12742-2
Foundations for Designing User-Centered Systems,Computer Science,doi.org/10.1007/978-1-4471-5134-0,https://link.springer.com/content/pdf/10.1007%2F978-1-4471-5134-0
Computer Vision,Computer Science,doi.org/10.1007/978-1-84882-935-0,https://link.springer.com/content/pdf/10.1007%2F978-1-84882-935-0
Data Mining,Computer Science,doi.org/10.1007/978-3-319-14142-8,https://link.springer.com/content/pdf/10.1007%2F978-3-319-14142-8
Computational Geometry,Computer Science,doi.org/10.1007/978-3-540-77974-2,https://link.springer.com/content/pdf/10.1007%2F978-3-540-77974-2
Cryptography Made Simple,Computer Science,doi.org/10.1007/978-3-319-21936-3,https://link.springer.com/content/pdf/10.1007%2F978-3-319-21936-3
Eye Tracking Methodology,Computer Science,doi.org/10.1007/978-3-319-57883-5,https://link.springer.com/content/pdf/10.1007%2F978-3-319-57883-5
The Data Science Design Manual,Computer Science,doi.org/10.1007/978-3-319-55444-0,https://link.springer.com/content/pdf/10.1007%2F978-3-319-55444-0
An Introduction to Machine Learning,Computer Science,doi.org/10.1007/978-3-319-63913-0,https://link.springer.com/content/pdf/10.1007%2F978-3-319-63913-0
Guide to Discrete Mathematics,Computer Science,doi.org/10.1007/978-3-319-44561-8,https://link.springer.com/content/pdf/10.1007%2F978-3-319-44561-8
Modelling Computing Systems,Computer Science,doi.org/10.1007/978-1-84800-322-4,https://link.springer.com/content/pdf/10.1007%2F978-1-84800-322-4
Understanding Cryptography,Computer Science,doi.org/10.1007/978-3-642-04101-3,https://link.springer.com/content/pdf/10.1007%2F978-3-642-04101-3
Concise Guide to Software Engineering,Computer Science,doi.org/10.1007/978-3-319-57750-0,https://link.springer.com/content/pdf/10.1007%2F978-3-319-57750-0
Fundamentals of Multimedia,Computer Science,doi.org/10.1007/978-3-319-05290-8,https://link.springer.com/content/pdf/10.1007%2F978-3-319-05290-8
The Python Workbook,Computer Science,doi.org/10.1007/978-3-319-14240-1,https://link.springer.com/content/pdf/10.1007%2F978-3-319-14240-1
Recommender Systems,Computer Science,doi.org/10.1007/978-3-319-29659-3,https://link.springer.com/content/pdf/10.1007%2F978-3-319-29659-3
Python Programming Fundamentals,Computer Science,doi.org/10.1007/978-1-4471-6642-9,https://link.springer.com/content/pdf/10.1007%2F978-1-4471-6642-9
"Object-Oriented Analysis, Design and Implementation",Computer Science,doi.org/10.1007/978-3-319-24280-4,https://link.springer.com/content/pdf/10.1007%2F978-3-319-24280-4
Introduction to Data Science,Computer Science,doi.org/10.1007/978-3-319-50017-1,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50017-1
Concise Guide to Databases,Computer Science,doi.org/10.1007/978-1-4471-5601-7,https://link.springer.com/content/pdf/10.1007%2F978-1-4471-5601-7
Digital Image Processing,Computer Science,doi.org/10.1007/978-1-4471-6684-9,https://link.springer.com/content/pdf/10.1007%2F978-1-4471-6684-9
Guide to Computer Network Security,Computer Science,doi.org/10.1007/978-3-319-55606-2,https://link.springer.com/content/pdf/10.1007%2F978-3-319-55606-2
Foundations of Programming Languages,Computer Science,doi.org/10.1007/978-3-319-70790-7,https://link.springer.com/content/pdf/10.1007%2F978-3-319-70790-7
Probability and Statistics for Computer Science,Computer Science,doi.org/10.1007/978-3-319-64410-3,https://link.springer.com/content/pdf/10.1007%2F978-3-319-64410-3
Guide to Competitive Programming,Computer Science,doi.org/10.1007/978-3-319-72547-5,https://link.springer.com/content/pdf/10.1007%2F978-3-319-72547-5
Introduction to Artificial Intelligence,Computer Science,doi.org/10.1007/978-3-319-58487-4,https://link.springer.com/content/pdf/10.1007%2F978-3-319-58487-4
Introduction to Deep Learning,Computer Science,doi.org/10.1007/978-3-319-73004-2,https://link.springer.com/content/pdf/10.1007%2F978-3-319-73004-2
"A Beginner's Guide to Scala, Object Orientation and Functional Programming",Computer Science,doi.org/10.1007/978-3-319-75771-1,https://link.springer.com/content/pdf/10.1007%2F978-3-319-75771-1
Fundamentals of Business Process Management,Computer Science,doi.org/10.1007/978-3-662-56509-4,https://link.springer.com/content/pdf/10.1007%2F978-3-662-56509-4
Guide to Scientific Computing in C++,Computer Science,doi.org/10.1007/978-3-319-73132-2,https://link.springer.com/content/pdf/10.1007%2F978-3-319-73132-2
Fundamentals of Java Programming,Computer Science,doi.org/10.1007/978-3-319-89491-1,https://link.springer.com/content/pdf/10.1007%2F978-3-319-89491-1
Logical Foundations of Cyber-Physical Systems,Computer Science,doi.org/10.1007/978-3-319-63588-0,https://link.springer.com/content/pdf/10.1007%2F978-3-319-63588-0
Introduction to Programming with Fortran,Computer Science,doi.org/10.1007/978-3-319-75502-1,https://link.springer.com/content/pdf/10.1007%2F978-3-319-75502-1
Neural Networks and Deep Learning,Computer Science,doi.org/10.1007/978-3-319-94463-0,https://link.springer.com/content/pdf/10.1007%2F978-3-319-94463-0
Data Science and Predictive Analytics,Computer Science,doi.org/10.1007/978-3-319-72347-1,https://link.springer.com/content/pdf/10.1007%2F978-3-319-72347-1
Systems Programming in Unix Linux,Computer Science,doi.org/10.1007/978-3-319-92429-8,https://link.springer.com/content/pdf/10.1007%2F978-3-319-92429-8
Introduction to Parallel Computing,Computer Science,doi.org/10.1007/978-3-319-98833-7,https://link.springer.com/content/pdf/10.1007%2F978-3-319-98833-7
Analysis for Computer Scientists,Computer Science,doi.org/10.1007/978-3-319-91155-7,https://link.springer.com/content/pdf/10.1007%2F978-3-319-91155-7
Introductory Computer Forensics,Computer Science,doi.org/10.1007/978-3-030-00581-8,https://link.springer.com/content/pdf/10.1007%2F978-3-030-00581-8
Java in Two Semesters,Computer Science,doi.org/10.1007/978-3-319-99420-8,https://link.springer.com/content/pdf/10.1007%2F978-3-319-99420-8
A Beginners Guide to Python 3 Programming,Computer Science,doi.org/10.1007/978-3-030-20290-3,https://link.springer.com/content/pdf/10.1007%2F978-3-030-20290-3
Advanced Guide to Python 3 Programming,Computer Science,doi.org/10.1007/978-3-030-25943-3,https://link.springer.com/content/pdf/10.1007%2F978-3-030-25943-3
Geomorphology of Desert Environments,Earth and Environmental Science,doi.org/10.1007/978-1-4020-5719-9,https://link.springer.com/content/pdf/10.1007%2F978-1-4020-5719-9
Irrigation and Drainage Engineering,Earth and Environmental Science,doi.org/10.1007/978-3-319-05699-9,https://link.springer.com/content/pdf/10.1007%2F978-3-319-05699-9
Climate Change Science: A Modern Synthesis,Earth and Environmental Science,doi.org/10.1007/978-94-007-5757-8,https://link.springer.com/content/pdf/10.1007%2F978-94-007-5757-8
Petroleum Geoscience,Earth and Environmental Science,doi.org/10.1007/978-3-642-34132-8,https://link.springer.com/content/pdf/10.1007%2F978-3-642-34132-8
Plate Tectonics,Earth and Environmental Science,doi.org/10.1007/978-3-540-76504-2,https://link.springer.com/content/pdf/10.1007%2F978-3-540-76504-2
The Sea Floor,Earth and Environmental Science,doi.org/10.1007/978-3-319-51412-3,https://link.springer.com/content/pdf/10.1007%2F978-3-319-51412-3
